location_identifier,bounding_polygon,median_all_12m_price_per_m2,count_all_12m,median_6m_ago_price_per_m2,count_6m_ago,median_last_30d_price_per_m2,count_last_30d
10435,0106000020E61000000100000001030000000100000015000000B191DA7A3CD32A405A97BFE72C444A40BC12375D05D32A40F926F2C92F444A4078712C3938CE2A402D5BEB8B84444A40B3599A0068CD2A400A91C2AB9B444A401C4FBAE303CD2A4007184CB2C4444A4071E6577380CC2A404B15D6D704454A4058F2C2E798CD2A40D053D3E418454A4066DAFE9595CE2A402149FF8128454A40B0E18EDC3FCF2A408E9E115B30454A40A06B0487BCD22A40C9C5BD9E54454A4039EC63AA05D32A400A9BA67455454A406CBD95DBACD42A408EC4701A47454A408B2CE3F093D82A405FBB0F9B23454A408AF72D84E6D82A40BA5A385A1F454A4069B8B71105D92A40242A543717454A40DCD9B2D716D92A40FF3053A40C454A402E41A1F9F7D82A407E0D77E4FE444A40B10D260F55D62A40B176CA598E444A4020EF552B13D62A4027B220DE84444A40ABF298DC83D32A40517AF02433444A40B191DA7A3CD32A405A97BFE72C444A40,20,"1269",20,208,19,171
10437,0106000020E6100000010000000103000000010000000F0000001F0EB7E809D82A4089096AF816454A40DA1B7C6132D12A40FC49C67B1F454A405B9FCD0589D02A405AD6FD6321454A4066DAFE9595CE2A402149FF8128454A408A79B18BFDCC2A40F62C639EF0454A40D089F32675CC2A40964B998A43464A40D7E7209EDBD62A4083D7D3B3C5464A4077B4160BE8D62A40FB0D6EC6C4464A405CFC12961DD72A406631B1F9B8464A40156F096586DA2A40A79608AFB8454A40DD3AA4BD66DA2A40CE8C7E349C454A406A9615D401DA2A405B37EF4971454A400EAC996B87D92A40F266C3503D454A40D5EAABAB02D92A40AC86698423454A401F0EB7E809D82A4089096AF816454A40,19,"2453",18,377,19,276
10439,0106000020E6100000010000000103000000010000000E000000156F096586DA2A40A79608AFB8454A40D089F32675CC2A40964B998A43464A409AF4ADC55DCB2A40A1CC50267F464A4018A600625CCB2A40DF89592F86464A400BA7165B52CB2A4071AFCC5B75474A4091F8CBDD9DCB2A409CE1067C7E474A4066AEC21CF3D02A402036A2C563474A4067A263624ED32A40CD87B1964C474A40CA202D848BD32A406F01B22149474A4066DE05A5C3DA2A40888B9246BB464A40E72219CD25DC2A40B2231F0599464A4029159EE117DC2A40A4A833F790464A40BB7ABA5FAADA2A408751103CBE454A40156F096586DA2A40A79608AFB8454A40,18,"2583",21,389,19,369
10551,0106000020E6100000010000000103000000010000000E000000D84AE82E89AF2A40B65C47663F434A40AF99D76C40AB2A40448A01124D434A409256218A6EAA2A40C57652BA4F434A40C694FE147DA82A408F83B7AC67434A4017974FFB52A82A40EC0CF8A177434A40F31318FC47A82A40ECEB0AC73D444A40E9ADCB3A2DA92A40329067976F444A40998C199760AF2A403A803452A5444A40D3C4967906B02A40438CD7BCAA444A409BFAE5385CB02A408261AF6653444A402DEDD45C6EB02A403C0B8C063A444A408655BC9179B02A404C05CBC7A4434A409ED9098A7AB02A402371EA5E82434A40D84AE82E89AF2A40B65C47663F434A40,25,"1831",20,226,48,386
10553,0106000020E6100000010000000103000000010000000B00000097790668B6A22A408DB7955E9B424A40B69B85E233A22A408F1DAF9BAD424A4073092C2570A02A407CECD396DF434A40AD156D8E739F2A40B1B849568F444A4051D43EC2D5A62A409A4AF553D2444A407132BB383BA72A40406F850BD4444A400B73CCC353A92A40D246BFC7AA444A4053149E865EA92A40FCD703F74D444A4032F3D36EAAA82A4066773705E8424A40102ACCD655A82A40CF8E0A52DF424A4097790668B6A22A408DB7955E9B424A40,27,"1379",26,189,27,160
10555,0106000020E61000000100000001030000000100000011000000D47FD6FCF8AB2A40F11AAA189D414A40F02CE68CCDAB2A404FA7E1009F414A40C6C4E6E3DAA82A40B89F426447424A4088DE3D9BB0A82A40CA13AD8152424A401920D1048AA82A4003DB77FB62424A40830FCAA07FA72A408E08217B18434A40E3C4573B8AA72A406E2585C31C434A40E2EA5B412EA82A40414A479451434A40C694FE147DA82A408F83B7AC67434A4047D6D0BCD2A82A405A796E4672434A404C169C6626A92A40942353F476434A4031ED9BFBABAF2A405083B3A558434A40CE7AE706F9AF2A40056EDDCD53434A40C5234CACE7AF2A40857588241F434A40550B36BFABAF2A4097E71C97CC424A408B8A389D64AF2A40AF33CF5B86424A40D47FD6FCF8AB2A40F11AAA189D414A40,22,"1183",21,173,21,126
10557,0106000020E610000001000000010300000001000000110000009BCF149568AC2A40DF48EA4EC1414A40458DF8043FAC2A4054E3A59BC4414A40438B112E89AC2A40D0978345EA414A40E85C9BD722AF2A40A108F368F4424A406B161EEA2DB42A40D0F8742B3A444A4008FAB083EFB62A40B2857BC097444A402B27EB81A0B92A40B889FFE0E8444A40461A266431BB2A401F8E6445C3444A4010EDBEBE31BF2A4030A75F7D97434A40D2FC31AD4DBF2A4028A72CF98E434A40596ABDDF68BF2A40061CF80780434A403E05C07806C12A40B8921D1B81424A40CF3C6F1926C12A4075A9B64027424A401F4EBBF31FC12A40F9A7AF4225424A40AEDBFBAFCEC02A404A12DFE412424A40B40B61904FB32A40B20D81C8C7414A409BCF149568AC2A40DF48EA4EC1414A40,38,"4576",25,540,55.5,824
10559,0106000020E6100000010000000103000000010000000E0000003E4CB159E4B52A40AC4D08C2BA424A406762BA10ABAF2A40A5773B0CF7424A404584DACAA6AF2A40187728AF3A434A40D63D0D73DDAF2A40C4B6A05280444A40BFD6A546E8AF2A4058CFA4A88E444A40B8E0B1440CB02A4017E1DC15B0444A403A86110C31B02A401C221395B2444A40EFCBF4A67DB22A4086032159C0444A40284DDE5BECB52A402EBCDC71D4444A403953324AE1B72A40B5F40DF1B4444A40AB274E4931B72A408B2194522B434A407BAF100CD6B62A409C1B2ECD08434A40BF171527ADB62A40A3AD4A22FB424A403E4CB159E4B52A40AC4D08C2BA424A40,22,"1458",15,260,19,132
10585,0106000020E6100000010000000103000000010000000E00000003232F6B62992A4000FA224674414A4001BD70E7C2982A4075AB8CEB84414A407A7D9C1F35982A405124A996BE414A407BE5304E32982A40C0FBF4E9C2414A404FFC6200F2972A40C02CA34742424A4037781508F1972A401C0F119260424A408061F9F36D992A40741F251BB4424A40CCADB59CF0A32A4058B49487E0414A40FACF3F660CA42A40422DBC81B8414A40016E71E888A32A4000492245AE414A400C186E0A759E2A40D70231BF89414A40D208EC20659E2A40C6692D7189414A40B0B37CB83F9A2A4028F796CD77414A4003232F6B62992A4000FA224674414A40,21,907,19,150,25,101
10587,0106000020E610000001000000010300000001000000170000003BF1E6BA3AA52A401184752D6B414A40CBE660EC73A32A4059D29B9B80414A409B2622B2FE992A408DCF64FF3C424A40F58A02D8DB992A40E333D93F4F424A401E7BACCF8B992A403C9A8F108A424A408061F9F36D992A40741F251BB4424A40C1994EA1A9992A4032642B1ECD424A403FCAE3C4B2A42A4052ABF93B25434A4011C4793881A52A4086C6B88729434A40A27DACE0B7A52A40B57867A329434A40FBA1E3B4F1A52A406EB8342328434A4096A7BDD243A62A4047BBC09B24434A40A697BD1182A62A4013FC259820434A405FD61FBCD1A62A40057B02171A434A407FE1F0DD41A72A400B630B410E434A4024B4E55C8AA72A402E02637D03434A400D8F58E608A82A409E639BAFED424A40D0155BF745A82A40BCFD03F6E2424A40977A713D65A82A405A982ABDDB424A40FCAB22371EAB2A409F008A9125424A405709168733AB2A407C97F7DD19424A40D3478556CCA92A4081A5040EB2414A403BF1E6BA3AA52A401184752D6B414A40,21,795,21,104,24.5,120
